SECID,BOARDID,SHORTNAME,PREVPRICE,LOTSIZE,FACEVALUE,STATUS,BOARDNAME,DECIMALS,SECNAME,REMARKS,MARKETCODE,INSTRID,SECTORID,MINSTEP,PREVWAPRICE,FACEUNIT,PREVDATE,ISSUESIZE,ISIN,LATNAME,REGNUMBER,PREVLEGALCLOSEPRICE,CURRENCYID,SECTYPE,LISTLEVEL,SETTLEDATE
IVAT,TQBR,iИВА,260.8,1,0.1,A,Т+: Акции и ДР - безадрес.,2,ПАО ИВА ао,,FNDT,EQIN,,0.05,260.6,SUR,2024-07-12,100000000,RU000A108GD8,PJSC IVA,1-01-10876-P,260.8,SUR,1,2,2024-07-16
JNOS,TQBR,Славн-ЯНОС,20.25,100,1.0,A,Т+: Акции и ДР - безадрес.,2,Славнефть-ЯНОС (ПАО) ао,,FNDT,EQIN,,0.05,20.15,SUR,2024-07-12,932654723,RU0009100895,Slavneft-JANOS,1-01-00199-A,20.25,SUR,1,3,2024-07-16
JNOSP,TQBR,Слав-ЯНОСп,13.08,100,1.0,A,Т+: Акции и ДР - безадрес.,2,Славнефть-ЯНОС (ПАО) ап,,FNDT,EQIN,,0.02,13.22,SUR,2024-07-12,310884574,RU0009101927,Slavneft-JANOS (pref),2-01-00199-A,13.08,SUR,2,3,2024-07-16
KAZT,TQBR,Куйбазот,562.0,10,1.0,A,Т+: Акции и ДР - безадрес.,1,Куйбышевазот ПАО ао,,FNDT,EQIN,,0.2,553.8,SUR,2024-07-12,234147999,RU000A0B9BV2,Kuib.Azot ao,1-01-00067-A,562.0,SUR,1,3,2024-07-16
KAZTP,TQBR,Куйбазот-п,540.0,10,1.0,A,Т+: Акции и ДР - безадрес.,1,Куйбышевазот ПАО ап,,FNDT,EQIN,,0.5,538.5,SUR,2024-07-12,3696506,RU000A0B9BW0,Kuibishevazot ap,2-01-00067-A,541.0,SUR,2,3,2024-07-16
KBSB,TQBR,ТНСэКубань,451.5,10,0.56,A,Т+: Акции и ДР - безадрес.,1,ТНС энерго Кубань ПАО ао,,FNDT,EQIN,,0.5,454.0,SUR,2024-07-12,17869440,RU000A0JNJ11,TNS energo Kuban Company,1-01-55218-E,451.5,SUR,1,3,2024-07-16
KCHE,TQBR,КамчатЭ ао,0.654,10000,0.1,A,Т+: Акции и ДР - безадрес.,3,Камчатскэнерго ПАО ао,,FNDT,EQIN,,0.001,0.655,SUR,2024-07-12,58294409860,RU0006753498,Kamchatskenergo,1-02-00235-A,0.654,SUR,1,3,2024-07-16
KCHEP,TQBR,КамчатЭ ап,1.055,10000,0.1,A,Т+: Акции и ДР - безадрес.,3,Камчатскэнерго ПАО ап,,FNDT,EQIN,,0.005,1.075,SUR,2024-07-12,183062052,RU0006753480,Kamchatskenergo (pref),2-02-00235-A,1.055,SUR,2,3,2024-07-16
KGKC,TQBR,КурганГКао,46.6,10,7.2,A,Т+: Акции и ДР - безадрес.,1,Курганская генер.комп.ПАО ао,,FNDT,EQIN,,0.2,46.0,SUR,2024-07-12,122453406,RU000A0JP120,Kurganskaja Gener.Kompanija,1-01-55226-E,46.2,SUR,1,3,2024-07-16
KGKCP,TQBR,КурганГКап,56.6,10,7.2,A,Т+: Акции и ДР - безадрес.,1,Курганская генер. комп. ПАО ап,,FNDT,EQIN,,0.2,56.4,SUR,2024-07-12,14393052,RU000A0JP138,Kurganskaja Gener.Kompanija ap,2-01-55226-E,56.6,SUR,2,3,2024-07-16
KLSB,TQBR,КалужскСК,23.91,100,0.2,A,Т+: Акции и ДР - безадрес.,2,"ао""Калужская сбыт.комп.""ПАО",,FNDT,EQIN,,0.01,23.94,SUR,2024-07-12,91487347,RU000A0DKZK3,Kalugsk. Sbyt. Company ao,1-01-65057-D,23.91,SUR,1,3,2024-07-16
KLVZ,TQBR,Кристалл,6.252,100,0.01,A,Т+: Акции и ДР - безадрес.,3,Алкогольная Группа Кристалл,,FNDT,EQIN,,0.002,6.23,SUR,2024-07-12,921052700,RU000A107KX0,KLVZ KRISTALL,1-01-05421-G,6.252,SUR,1,3,2024-07-16
